city,datetime,temperature,feels_like,humidity,weather,wind_speed,rain_3h
Mont Saint Michel,2026-06-22 15:00:00,36.86,36.98,28,clear sky,2.91,0.0
Mont Saint Michel,2026-06-22 18:00:00,34.96,36.56,38,clear sky,5.86,0.0
Mont Saint Michel,2026-06-22 21:00:00,25.69,25.67,52,light rain,6.74,0.11
Mont Saint Michel,2026-06-23 00:00:00,26.3,26.3,52,scattered clouds,5.45,0.0
Mont Saint Michel,2026-06-23 03:00:00,22.8,22.75,62,broken clouds,3.39,0.0
Mont Saint Michel,2026-06-23 06:00:00,23.19,23.24,64,scattered clouds,1.96,0.0
Mont Saint Michel,2026-06-23 09:00:00,30.37,30.81,45,few clouds,3.01,0.0
Mont Saint Michel,2026-06-23 12:00:00,36.32,36.93,31,few clouds,0.62,0.0
Mont Saint Michel,2026-06-23 15:00:00,37.72,38.34,28,few clouds,3.48,0.0
Mont Saint Michel,2026-06-23 18:00:00,31.35,33.21,50,clear sky,4.93,0.0
Mont Saint Michel,2026-06-23 21:00:00,26.5,26.5,54,light rain,3.54,0.11
Mont Saint Michel,2026-06-24 00:00:00,23.85,23.81,58,broken clouds,1.09,0.0
Mont Saint Michel,2026-06-24 03:00:00,23.73,23.59,55,broken clouds,1.53,0.0
Mont Saint Michel,2026-06-24 06:00:00,24.52,24.54,58,broken clouds,2.87,0.0
Mont Saint Michel,2026-06-24 09:00:00,32.32,32.38,38,scattered clouds,1.95,0.0
Mont Saint Michel,2026-06-24 12:00:00,37.3,37.39,27,scattered clouds,1.39,0.0
Mont Saint Michel,2026-06-24 15:00:00,37.94,38.1,26,overcast clouds,5.27,0.0
Mont Saint Michel,2026-06-24 18:00:00,31.78,31.97,40,light rain,0.53,0.16
Mont Saint Michel,2026-06-24 21:00:00,30.99,30.02,33,light rain,4.28,0.51
Mont Saint Michel,2026-06-25 00:00:00,23.88,23.81,57,light rain,2.98,0.11
Mont Saint Michel,2026-06-25 03:00:00,22.94,22.83,59,light rain,3.96,0.2
Mont Saint Michel,2026-06-25 06:00:00,25.92,26.06,57,overcast clouds,5.25,0.0
Mont Saint Michel,2026-06-25 09:00:00,34.2,33.55,30,broken clouds,6.36,0.0
Mont Saint Michel,2026-06-25 12:00:00,39.18,37.72,18,broken clouds,7.83,0.0
Mont Saint Michel,2026-06-25 15:00:00,40.1,38.13,15,scattered clouds,7.24,0.0
Mont Saint Michel,2026-06-25 18:00:00,31.0,30.77,39,scattered clouds,5.91,0.0
Mont Saint Michel,2026-06-25 21:00:00,22.75,22.8,66,clear sky,2.73,0.0
Mont Saint Michel,2026-06-26 00:00:00,19.08,19.24,84,light rain,4.13,0.12
Mont Saint Michel,2026-06-26 03:00:00,17.23,17.38,91,scattered clouds,2.13,0.0
Mont Saint Michel,2026-06-26 06:00:00,19.23,19.32,81,few clouds,1.91,0.0
Mont Saint Michel,2026-06-26 09:00:00,24.22,24.08,53,clear sky,2.66,0.0
Mont Saint Michel,2026-06-26 12:00:00,27.88,27.7,42,clear sky,3.59,0.0
Mont Saint Michel,2026-06-26 15:00:00,27.91,27.72,42,clear sky,7.08,0.0
Mont Saint Michel,2026-06-26 18:00:00,23.04,22.91,58,clear sky,5.88,0.0
Mont Saint Michel,2026-06-26 21:00:00,20.0,19.88,70,scattered clouds,3.06,0.0
Mont Saint Michel,2026-06-27 00:00:00,17.68,17.51,77,scattered clouds,2.04,0.0
Mont Saint Michel,2026-06-27 03:00:00,16.69,16.5,80,clear sky,1.98,0.0
Mont Saint Michel,2026-06-27 06:00:00,18.68,18.56,75,clear sky,2.69,0.0
Mont Saint Michel,2026-06-27 09:00:00,23.09,23.02,60,broken clouds,3.88,0.0
Mont Saint Michel,2026-06-27 12:00:00,24.95,24.88,53,scattered clouds,4.94,0.0
St Malo,2026-06-22 15:00:00,36.24,43.24,51,clear sky,6.61,0.0
St Malo,2026-06-22 18:00:00,30.71,34.01,59,clear sky,6.54,0.0
St Malo,2026-06-22 21:00:00,26.28,26.28,50,few clouds,7.8,0.0
St Malo,2026-06-23 00:00:00,23.23,23.15,59,few clouds,4.83,0.0
St Malo,2026-06-23 03:00:00,22.03,22.06,68,scattered clouds,2.72,0.0
St Malo,2026-06-23 06:00:00,22.19,22.16,65,few clouds,2.35,0.0
St Malo,2026-06-23 09:00:00,27.43,27.84,50,scattered clouds,3.35,0.0
St Malo,2026-06-23 12:00:00,31.47,32.04,43,few clouds,3.4,0.0
St Malo,2026-06-23 15:00:00,31.22,31.85,44,clear sky,5.69,0.0
St Malo,2026-06-23 18:00:00,24.76,24.88,61,clear sky,5.52,0.0
St Malo,2026-06-23 21:00:00,21.98,22.11,72,few clouds,3.24,0.0
St Malo,2026-06-24 00:00:00,22.74,22.71,63,scattered clouds,0.55,0.0
St Malo,2026-06-24 03:00:00,21.5,21.43,66,scattered clouds,1.68,0.0
St Malo,2026-06-24 06:00:00,20.88,20.93,73,few clouds,3.84,0.0
St Malo,2026-06-24 09:00:00,28.01,28.37,49,few clouds,2.11,0.0
St Malo,2026-06-24 12:00:00,31.75,31.92,40,few clouds,5.16,0.0
St Malo,2026-06-24 15:00:00,30.61,31.14,45,broken clouds,7.52,0.0
St Malo,2026-06-24 18:00:00,29.1,29.32,46,broken clouds,8.07,0.0
St Malo,2026-06-24 21:00:00,24.13,24.11,58,light rain,5.31,1.0
St Malo,2026-06-25 00:00:00,25.51,25.5,53,light rain,7.34,0.34
St Malo,2026-06-25 03:00:00,21.86,21.82,66,overcast clouds,6.12,0.0
St Malo,2026-06-25 06:00:00,23.23,23.2,61,overcast clouds,3.98,0.0
St Malo,2026-06-25 09:00:00,30.51,30.17,39,overcast clouds,6.44,0.0
St Malo,2026-06-25 12:00:00,34.29,33.5,29,broken clouds,8.12,0.0
St Malo,2026-06-25 15:00:00,33.4,32.66,31,scattered clouds,7.23,0.0
St Malo,2026-06-25 18:00:00,27.43,27.7,48,scattered clouds,7.62,0.0
St Malo,2026-06-25 21:00:00,21.05,21.14,74,scattered clouds,1.43,0.0
